College,,AAU,Announce date,Type,State  ^Color denotes 2020 presidential result^,Employees  ^(Vaccination required)^,All students  ^(Vaccination required)^,Only residential students  ^(Vaccination required)^,state_pol
[Juniata College](https://www.juniata.edu/coronavirus/Vaccine%20FAQ.php)@@Juniata College,Juniata College,,--,Private,PA,--,✓,--,D
[Kalamazoo College](https://covid.kzoo.edu/2021/04/29/important-message-on-covid-19-vaccines/)@@Kalamazoo College,Kalamazoo College,,"April 29, 2021",Private,MI,--,✓,--,D
[Kapiolani Community College](https://www.hawaii.edu/news/2021/05/17/uh-to-require-covid-19-vaccination/)@@Kapiolani Community College,Kapiolani Community College,,"May 17, 2021",Public,HI,--,✓,--,D
[Kauai Community College](https://www.hawaii.edu/news/2021/05/17/uh-to-require-covid-19-vaccination/)@@Kauai Community College,Kauai Community College,,"May 17, 2021",Public,HI,--,✓,--,D
[Kean University](https://www.kean.edu/presidential-announcements#vax)@@Kean University,Kean University,,"April 30, 2021",Public,NJ,--,✓,--,D
[Kennebec Valley Community College](https://www.mccs.me.edu/covid-19/vaccine-protocol/)@@Kennebec Valley Community College,Kennebec Valley Community College,,"August 12, 2021",Public,ME,--,✓,--,D
[Kenyon College](https://www.kenyon.edu/news/archive/covid-19-update-vaccination-required-for-students/)@@Kenyon College,Kenyon College,,"April 20, 2021",Private,OH,--,✓,--,R
[Keuka College](https://www.keuka.edu/vaccine)@@Keuka College,Keuka College,,--,Private,NY,✓,✓,--,D
[Knox College](https://www.knox.edu/knoxtogether/latest-updates)@@Knox College,Knox College,,"May 20, 2021",Private,IL,--,✓,--,D
[La Salle University](https://www.lasalle.edu/blog/2021/06/17/vaccine-requirement-and-additional-health-and-safety-updates-for-fall-2021/)@@La Salle University,La Salle University,,"June 17, 2021",Private,PA,✓,✓,--,D
[La Sierra University](https://lasierra.edu/covid-19/campus-operations/)@@La Sierra University,La Sierra University,,"July 27, 2021",Private,CA,✓,✓,--,D
[Lafayette College](https://covid19.lafayette.edu/2021/05/26/a-safe-return-to-normal)@@Lafayette College,Lafayette College,,"May 26, 2021",Private,PA,✓,✓,--,D
[Lake Forest College](https://www.lakeforest.edu/about-us/administration/covid-19-information/previous-correspondence)@@Lake Forest College,Lake Forest College,,"May 20, 2021",Private,IL,--,✓,--,D
[Landmark College](https://www.landmark.edu/news/covid-19-vaccination-policy-for-fall-2021-semester)@@Landmark College,Landmark College,,"May 14, 2021",Private,VT,✓,✓,--,D
[Lane Community College](https://www.lanecc.edu/newsroom/2021-07-22/lcc-announces-covid-19-vaccine-requirement-fall-term)@@Lane Community College,Lane Community College,,"July 22, 2021",Public,OR,✓,✓,--,D
[Laney College](https://safe.peralta.edu/updates/campusstatus8-3-21)@@Laney College,Laney College,,"August 5, 2021",Public,CA,✓,✓,--,D
[Lasell University](https://www.lasell.edu/covid-19-information.html)@@Lasell University,Lasell University,,"April 14, 2021",Private,MA,✓,✓,--,D
[Lawrence Technological University](https://www.ltu.edu/news/?_from=/news/index.asp&_opt=detail&_cid=31a6acae-df51-4189-ab88-edf7d6668a7d)@@Lawrence Technological University,Lawrence Technological University,,"April 13, 2021",Private,MI,--,--,✓,D
[Lawrence University](https://blogs.lawrence.edu/plan-for-2020-21/2021/04/28/fall-2021-plan-update-april-28-2021/)@@Lawrence University,Lawrence University,,"April 28, 2021",Private,WI,--,✓,--,D
[Le Moyne College](https://www.lemoyne.edu/News/News-Article/ArticleId/320)@@Le Moyne College,Le Moyne College,,"April 23, 2021",Private,NY,--,✓,--,D
[Lees-McRae College](https://www.lmc.edu/about/covid-19/index.htm)@@Lees-McRae College,Lees-McRae College,,--,Private,NC,--,✓,--,R
[Leeward Community College](https://www.hawaii.edu/news/2021/05/17/uh-to-require-covid-19-vaccination/)@@Leeward Community College,Leeward Community College,,"May 17, 2021",Public,HI,--,✓,--,D
[Lehigh University](https://www2.lehigh.edu/news/42121-fall-2021-plans-and-covid-vaccines)@@Lehigh University,Lehigh University,,"April 21, 2021",Private,PA,✓,✓,--,D
[Lenoir-Rhyne University](https://www.lr.edu/coronavirus#vaccine-requirement)@@Lenoir-Rhyne University,Lenoir-Rhyne University,,"June 25, 2021",Private,NC,✓,✓,--,R
[Lesley University](https://mailchi.mp/7a0873aafc88/important-announcement-of-covid-19-vaccination-requirement-survey-05-06-21?e=98575a5080)@@Lesley University,Lesley University,,"May 6, 2021",Private,MA,--,✓,--,D
[Lewis & Clark College](https://www.lclark.edu/offices/health_service/vaccine-education/student-covid-19-vaccination-policy/faq/)@@Lewis & Clark College,Lewis & Clark College,,"April 21, 2021",Private,OR,--,✓,--,D
[Lewis University](https://www.lewisu.edu/news/newsarticle.htm?PArticleID=11903#.YLpr6LRKj9F)@@Lewis University,Lewis University,,"June 1, 2021",Private,IL,✓,✓,--,D
[Linfield University](https://www.linfield.edu/linfield-news/covid-19-vaccine-required/)@@Linfield University,Linfield University,,"May 17, 2021",Private,OR,✓,✓,--,D
[Longwood University](http://www.longwood.edu/news/2021/message-to-students-about-vaccine-plans/)@@Longwood University,Longwood University,,"June 9, 2021",Public,VA,--,✓,--,D
[Louisiana State University](https://www.lsu.edu/president/messages/2021/08-24-welcome-employees.php)@@Louisiana State University,Louisiana State University,,"August 24, 2021",Public,LA,✓,✓,--,R
[Louisiana Tech University](https://www.klfy.com/health/coronavirus/university-of-louisiana-system-will-require-student-covid-19-vaccinations/)@@Louisiana Tech University,Louisiana Tech University,,"August 23, 2021",Public,LA,--,✓,--,R
[Loyola Marymount University](https://newsroom.lmu.edu/2021/04/26/lmu-requires-covid-19-vaccinations-for-students-in-fall-2021/)@@Loyola Marymount University,Loyola Marymount University,,"April 26, 2021",Private,CA,✓,✓,--,D
[Loyola University Chicago](https://loyolachicago.us.newsweaver.com/mptytjt7x1/1g3kax3m8if1mwvh8pz3j8?email=true&lang=en&a=6&p=6173569&t=645687)@@Loyola University Chicago,Loyola University Chicago,,"April 22, 2021",Private,IL,✓,✓,--,D
[Loyola University Maryland](https://www.loyola.edu/about/coronavirus-update/communication-archive/051021-students)@@Loyola University Maryland,Loyola University Maryland,,"May 10, 2021",Private,MD,✓,✓,--,D
[Loyola University New Orleans](https://faq.loyno.edu/return-campus/message-archive)@@Loyola University New Orleans,Loyola University New Orleans,,"June 1, 2021",Private,LA,--,✓,--,R
[Macalester College](https://www.macalester.edu/covid-19/recent-updates/president-rivera-covid-19-vaccine-requirement/)@@Macalester College,Macalester College,,"April 23, 2021",Private,MN,✓,✓,--,D
[Maine Maritime Academy](https://mainemaritime.edu/about-mma/press-releases/maine-maritime-academy-announces-student-vaccine-requirement-for-fall-2021/)@@Maine Maritime Academy,Maine Maritime Academy,,"August 12, 2021",Public,ME,--,✓,--,D
[Manchester Community College](https://www.ct.edu/covid19#faqs)@@Manchester Community College,Manchester Community College,,"June 25, 2021",Public,CT,--,✓,--,D
[Manhattan College](https://manhattan.edu/return-to-campus/campus-communications/index.php)@@Manhattan College,Manhattan College,,"June 10, 2021",Private,NY,✓,✓,--,D
[Manhattan School of Music](https://www.msmnyc.edu/about/msm-covid-19-vaccination-policy/)@@Manhattan School of Music,Manhattan School of Music,,"June 24, 2021",Private,NY,✓,✓,--,D
[Manhattanville College](https://bronx.news12.com/2manhattanville-college-to-require-covid-19-vaccine-for-all-returning-fall-students)@@Manhattanville College,Manhattanville College,,"April 6, 2021",Private,NY,--,✓,--,D
[Maria College of Albany](https://mariacollege.edu/covid-guidelines)@@Maria College of Albany,Maria College of Albany,,--,Private,NY,✓,✓,--,D
[Marist College](https://www.marist.edu/-/marist-policy-covid-19-vaccine)@@Marist College,Marist College,,"May 21, 2021",Private,NY,✓,✓,--,D
[Marquette University](https://www.marquette.edu/email/president/6-07-21-vaccine.php/)@@Marquette University,Marquette University,,"June 7, 2021",Private,WI,--,✓,--,D
[Mary Baldwin University](https://marybaldwin.edu/news/2021/04/28/mbu-will-require-covid-vaccine/)@@Mary Baldwin University,Mary Baldwin University,,"April 28, 2021",Private,VA,✓,✓,--,D
[Maryland Institute College of Art](https://www.mica.edu/art-articles/details/may-13-student-memo/)@@Maryland Institute College of Art,Maryland Institute College of Art,,"May 13, 2021",Private,MD,--,✓,--,D
[Marymount California University](https://www.marymountcalifornia.edu/wp-content/uploads/2021/06/MCU-Return-to-CampusVaccination-Policy_International.pdf)@@Marymount California University,Marymount California University,,"May 25, 2021",Private,CA,✓,✓,--,D
[Marymount Manhattan College](https://www.mmm.edu/restart/vaccination-information/)@@Marymount Manhattan College,Marymount Manhattan College,,--,Private,NY,--,✓,--,D
Marymount University,Marymount University,,"May 7, 2021",Private,VA,✓,✓,--,D
[Maryville College](https://www.maryvillecollege.edu/news/2021/mc-requiring-with-exceptions-covid-19-vaccine-for-campus-community/)@@Maryville College,Maryville College,,"April 26, 2021",Private,TN,✓,✓,--,R
[Massachusetts College of Art and Design](https://www.salemstate.edu/news/fall-2021-semester-covid-19-vaccine-requirement-apr-26-2021)@@Massachusetts College of Art and Design,Massachusetts College of Art and Design,,"April 26, 2021",Public,MA,--,✓,--,D
[Massachusetts College of Liberal Arts](https://www.mcla.edu/_pdfs/student-services/health-services/coronavirus/04-21_april/vaccinations-4-26.pdf)@@Massachusetts College of Liberal Arts,Massachusetts College of Liberal Arts,,"April 26, 2021",Public,MA,--,✓,--,D
[Massachusetts Institute of Technology](http://inj9.mjt.lu/nl2/inj9/miuv5.html?m=AVUAAC0Wl0UAAcrpphwAAAJYdLEAAAAASwUAJSExAAiQzwBgjH8pI8uQr74_QCSKDl0IDI2-zwAIIWc&b=7a229fb6&e=06355d55&x=FedvQbyvA5Jkzbkam6ng7g)@@Massachusetts Institute of Technology,Massachusetts Institute of Technology,Y,"April 30, 2021",Private,MA,✓,✓,--,D
[Massachusetts Maritime Academy](https://www.salemstate.edu/news/fall-2021-semester-covid-19-vaccine-requirement-apr-26-2021)@@Massachusetts Maritime Academy,Massachusetts Maritime Academy,,"April 26, 2021",Public,MA,--,✓,--,D
[McDaniel College](https://www.mcdaniel.edu/news/mcdaniel-college-announces-vaccine-policy-fall-2021)@@McDaniel College,McDaniel College,,"June 15, 2021",Private,MD,--,✓,--,D
[McNeese State University](https://www.klfy.com/health/coronavirus/university-of-louisiana-system-will-require-student-covid-19-vaccinations/)@@McNeese State University,McNeese State University,,"August 23, 2021",Public,LA,--,✓,--,R
[MCPHS University](https://www.mcphs.edu/covid/vaccination-eligibility)@@MCPHS University,MCPHS University,,--,Private,MA,--,✓,--,D
[Menlo College](https://docs.google.com/document/d/e/2PACX-1vTVQZ5_kOzW3cEx7pBgw02vyUFs_T5AUFp1yz47r0dYepw6rzoUI9AkgA2-djl10tBSuwIPqXBCMI6L/pub)@@Menlo College,Menlo College,,"April 21, 2021",Private,CA,--,✓,--,D
[Mercy College](https://www.mercy.edu/news-events/news/message-students-re-vaccine-requirements-july-12)@@Mercy College,Mercy College,,"July 12, 2021",Private,NY,--,✓,--,D
[Mercyhurst University](https://www.mercyhurst.edu/vaccines)@@Mercyhurst University,Mercyhurst University,,--,Private,PA,✓,✓,--,D
[Merrimack College](https://www.merrimack.edu/covid-19/)@@Merrimack College,Merrimack College,,"May 14, 2021",Private,MA,✓,✓,--,D
[Merritt College](https://safe.peralta.edu/updates/campusstatus8-3-21)@@Merritt College,Merritt College,,"August 5, 2021",Public,CA,✓,✓,--,D
[Metropolitan College of New York](https://www.mcny.edu/coronavirus/)@@Metropolitan College of New York,Metropolitan College of New York,,"August 2, 2021",Private,NY,✓,✓,--,D
[Metropolitan State University of Denver](https://www.msudenver.edu/president/msu-denver-to-require-covid-19-vaccinations-for-fall-042821/)@@Metropolitan State University of Denver,Metropolitan State University of Denver,,"April 28, 2021",Public,CO,✓,✓,--,D
[Michigan State University](https://president.msu.edu/communications/messages-statements/2021_community_letters/2021-07-30-mask-vaccine-requirement.html)@@Michigan State University,Michigan State University,Y,"July 30, 2021",Public,MI,✓,✓,--,D
[Middlebury College](https://www.middlebury.edu/office/spring2021/announcements/fall-semester-planning-and-vaccination-requirements)@@Middlebury College,Middlebury College,,"May 13, 2021",Private,VT,✓,✓,--,D
[Middlesex Community College](https://www.ct.edu/covid19#faqs)@@Middlesex Community College,Middlesex Community College,,"June 25, 2021",Public,CT,--,✓,--,D
[Mills College](https://www.mills.edu/covid-19/index.php)@@Mills College,Mills College,,"June 10, 2021",Private,CA,✓,✓,--,D
[Minneapolis College of Art and Design](https://www.mcad.edu/news/office-president-return-campus-update)@@Minneapolis College of Art and Design,Minneapolis College of Art and Design,,"May 11, 2021",Private,MN,✓,✓,--,D
[MiraCosta College](https://www.miracosta.edu/covid/covid-vaccination-requirements.html)@@MiraCosta College,MiraCosta College,,--,Public,CA,✓,✓,--,D
[Mitchell Hamline School of Law](https://mitchellhamline.edu/news/2021/05/17/starting-aug-1-mitchell-hamline-faculty-staff-and-students-must-be-vaccinated-to-be-on-campus/)@@Mitchell Hamline School of Law,Mitchell Hamline School of Law,,"May 17, 2021",Private,MN,✓,✓,--,D
[Mohawk Valley Community College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@Mohawk Valley Community College,Mohawk Valley Community College,,"May 10, 2021",Public,NY,--,✓,--,D
[Molloy College](https://www.molloy.edu/molloy-life/student-health-and-wellness/coronavirus-updates/vaccination-guidelines-for-employees)@@Molloy College,Molloy College,,"July 27, 2021",Private,NY,✓,✓,--,D
[Monmouth University](https://www.monmouth.edu/covid-19/fall-2021-healthcare-protocols/)@@Monmouth University,Monmouth University,,"June 14, 2021",Private,NJ,✓,✓,--,D
