College,,AAU,Announce date,Type,State  ^Color denotes 2020 presidential result^,Employees  ^(Vaccination required)^,All students  ^(Vaccination required)^,Only residential students  ^(Vaccination required)^,state_pol
[University of Nevada at Las Vegas](https://www.unlv.edu/news-story/nevada-state-board-health-approves-covid-19-vaccination-requirement-students)@@University of Nevada at Las Vegas,University of Nevada at Las Vegas,,"August 20, 2021",Public,NV,--,✓,--,D
[University of Nevada at Reno](https://www.unlv.edu/news-story/nevada-state-board-health-approves-covid-19-vaccination-requirement-students)@@University of Nevada at Reno,University of Nevada at Reno,,"August 20, 2021",Public,NV,--,✓,--,D
[University of New England](https://www.une.edu/news/2021/university-new-england-require-covid-19-vaccines-fall-2021)@@University of New England,University of New England,,"May 5, 2021",Private,ME,✓,✓,--,D
[University of New Haven](http://newhaven.edu/covid19/index.php)@@University of New Haven,University of New Haven,,"June 16, 2021",Private,CT,✓,✓,--,D
[University of New Mexico at Gallup](https://bringbackthepack.unm.edu/vaccine/vaccine-requirement.html)@@University of New Mexico at Gallup,University of New Mexico at Gallup,,"August 2, 2021",Public,NM,✓,✓,--,D
[University of New Mexico at Los Alamos](https://bringbackthepack.unm.edu/vaccine/vaccine-requirement.html)@@University of New Mexico at Los Alamos,University of New Mexico at Los Alamos,,"August 2, 2021",Public,NM,✓,✓,--,D
[University of New Mexico at Taos](https://bringbackthepack.unm.edu/vaccine/vaccine-requirement.html)@@University of New Mexico at Taos,University of New Mexico at Taos,,"August 2, 2021",Public,NM,✓,✓,--,D
[University of New Mexico at Valencia County](https://bringbackthepack.unm.edu/vaccine/vaccine-requirement.html)@@University of New Mexico at Valencia County,University of New Mexico at Valencia County,,"August 2, 2021",Public,NM,✓,✓,--,D
[University of New Mexico-Main Campus](https://bringbackthepack.unm.edu/vaccine/vaccine-requirement.html)@@University of New Mexico-Main Campus,University of New Mexico-Main Campus,,"August 2, 2021",Public,NM,✓,✓,--,D
[University of New Orleans](https://www.klfy.com/health/coronavirus/university-of-louisiana-system-will-require-student-covid-19-vaccinations/)@@University of New Orleans,University of New Orleans,,"August 23, 2021",Public,LA,--,✓,--,R
[University of Northern Colorado](https://www.unco.edu/fall-2021/covid-19-vaccines.aspx)@@University of Northern Colorado,University of Northern Colorado,,"April 28, 2021",Public,CO,✓,✓,--,D
[University of Notre Dame](https://here.nd.edu/health-safety/covid-19-vaccination-information/faculty-and-staff-vaccination-requirement/)@@University of Notre Dame,University of Notre Dame,,"April 7, 2021",Private,IN,✓,✓,--,R
[University of Oregon](https://around.uoregon.edu/content/uo-require-covid-19-vaccinations-students-employees)@@University of Oregon,University of Oregon,Y,"May 10, 2021",Public,OR,✓,✓,--,D
[University of Pennsylvania](https://penntoday.upenn.edu/announcements/update-penns-plans-fall-semester)@@University of Pennsylvania,University of Pennsylvania,Y,"April 22, 2021",Private,PA,✓,✓,--,D
[University of Portland](https://www.up.edu/news/2021/04/covid-19-vaccination-requirement-fall-2021-term.html)@@University of Portland,University of Portland,,"April 27, 2021",Private,OR,✓,✓,--,D
[University of Puget Sound](https://www.pugetsound.edu/about/office-of-the-president/messages-to-campus/student-vaccination-requirement-effective-fall-2021-5-7-21/)@@University of Puget Sound,University of Puget Sound,,"May 7, 2021",Private,WA,✓,✓,--,D
[University of Redlands](https://www.redlands.edu/globalassets/ucomm/01-covid-19/employees/docs/ur-covid-vaccination-policy-2021-employees-final.pdf)@@University of Redlands,University of Redlands,,"June 15, 2021",Private,CA,✓,✓,--,D
[University of Rhode Island](https://web.uri.edu/healthservices/covid-19-vaccine-information/)@@University of Rhode Island,University of Rhode Island,,"May 18, 2021",Public,RI,--,✓,--,D
[University of Richmond](https://www.richmond.edu/coronavirus/messages/index.html#june-10-2021-fall-opening-plans-for-students)@@University of Richmond,University of Richmond,,"June 10, 2021",Private,VA,✓,✓,--,D
[University of Rochester](https://www.rochester.edu/coronavirus-update/university-to-require-covid-19-vaccination-for-students-for-upcoming-academic-year/)@@University of Rochester,University of Rochester,Y,"April 22, 2021",Private,NY,--,✓,--,D
[University of San Diego](https://www.sandiego.edu/onward/documents/emails/2021/mandatory-vaccinations-2021-04-19.html)@@University of San Diego,University of San Diego,,"April 19, 2021",Private,CA,✓,✓,--,D
[University of San Francisco](https://myusf.usfca.edu/usf-together)@@University of San Francisco,University of San Francisco,,"May 24, 2021",Private,CA,✓,✓,--,D
[University of Scranton](https://www.scranton.edu/royals-safe-together/assets/documents/vaccine-mandate-for-fall-2021.pdf)@@University of Scranton,University of Scranton,,"May 19, 2021",Private,PA,✓,✓,--,D
[University of Southern California](https://policy.usc.edu/covid-19-vaccination-program/)@@University of Southern California,University of Southern California,Y,"April 26, 2021",Private,CA,✓,✓,--,D
[University of Southern Maine](https://www.maine.edu/together/community-guidance/students/)@@University of Southern Maine,University of Southern Maine,,"August 4, 2021",Public,ME,--,✓,--,D
[University of St. Thomas](https://www.stthomas.edu/healthpromotion/covid-19education/covidvaccine/)@@University of St. Thomas,University of St. Thomas,,"August 2, 2021",Private,MN,✓,✓,--,D
[University of the District of Columbia](https://mailchi.mp/bff264b02cf6/udc-to-require-vaccines-reopen-campuses-for-fall-2021?e=1f0f8d5b11)@@University of the District of Columbia,University of the District of Columbia,,"May 3, 2021",Public,DC,✓,✓,--,D
[University of the Pacific](https://www.pacific.edu/pacific-newsroom/pacific-require-students-be-vaccinated-covid-19-0)@@University of the Pacific,University of the Pacific,,"May 13, 2021",Private,CA,✓,✓,--,D
University of the Sciences,University of the Sciences,,"April 29, 2021",Private,PA,--,✓,--,D
[University of the West](https://www.uwest.edu/coronavirus-information-for-the-uwest-community/)@@University of the West,University of the West,,"July 22, 2021",Private,CA,✓,✓,--,D
[University of Vermont](https://www.uvm.edu/uvmnews/news/uvm-require-coronavirus-vaccination-students-once-full-fda-approval-granted)@@University of Vermont,University of Vermont,,"June 9, 2021",Public,VT,--,✓,--,D
[University of Virginia](https://coronavirus.virginia.edu/updates/important-information-about-fall-2021)@@University of Virginia,University of Virginia,Y,"May 20, 2021",Public,VA,--,✓,--,D
[University of Washington at Bothell](https://www.washington.edu/coronavirus/2021/05/03/uw-student-vaccination-requirement/)@@University of Washington at Bothell,University of Washington at Bothell,,"May 3, 2021",Public,WA,✓,✓,--,D
[University of Washington at Seattle](https://www.washington.edu/coronavirus/2021/05/03/uw-student-vaccination-requirement/)@@University of Washington at Seattle,University of Washington at Seattle,Y,"May 3, 2021",Public,WA,✓,✓,--,D
[University of Washington at Tacoma](https://www.washington.edu/coronavirus/2021/05/03/uw-student-vaccination-requirement/)@@University of Washington at Tacoma,University of Washington at Tacoma,,"May 3, 2021",Public,WA,✓,✓,--,D
[Upstate Medical University](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@Upstate Medical University,Upstate Medical University,,"May 10, 2021",Public,NY,--,✓,--,D
[Ursinus College](https://www.ursinus.edu/live/blurbs/2910-may-27-information-on-vaccination-requirement)@@Ursinus College,Ursinus College,,"May 27, 2021",Private,PA,--,✓,--,D
[Utica College](https://www.utica.edu/covid-immunization)@@Utica College,Utica College,,"June 25, 2021",Private,NY,✓,✓,--,D
[Valparaiso University](https://www.valpo.edu/looking-forward/campus-messages/covid-19-vaccination-required-for-valpo-employees/)@@Valparaiso University,Valparaiso University,,"April 27, 2021",Private,IN,✓,✓,--,R
[Vanderbilt University](https://www.vanderbilt.edu/coronavirus/)@@Vanderbilt University,Vanderbilt University,Y,"May 17, 2021",Private,TN,✓,✓,--,R
[Vassar College](https://www.poughkeepsiejournal.com/story/news/education/2021/04/15/vassar-require-vaccinations-marist-dcc-bard-college-commencements/7233335002/)@@Vassar College,Vassar College,,"April 14, 2021",Private,NY,✓,✓,--,D
[Vermont Law School](https://www.vermontlaw.edu/resources/covid19)@@Vermont Law School,Vermont Law School,,--,Private,VT,✓,✓,--,D
[Villanova University](https://www1.villanova.edu/university/return-to-campus/vaccine-information/vaccine-faqs.html)@@Villanova University,Villanova University,,"June 3, 2021",Private,PA,✓,✓,--,D
[Virginia Commonwealth University](https://together.vcu.edu/news/masking-requirement-and-employee-vaccination/)@@Virginia Commonwealth University,Virginia Commonwealth University,,--,Public,VA,✓,✓,--,D
[Virginia Military Institute](https://www.vmi.edu/safereturn/)@@Virginia Military Institute,Virginia Military Institute,,--,Public,VA,--,✓,--,D
[Virginia Polytechnic Institute and State University](https://vtx.vt.edu/articles/2021/06/president-message-060821.html)@@Virginia Polytechnic Institute and State University,Virginia Polytechnic Institute and State University,,"June 8, 2021",Public,VA,✓,✓,--,D
[Virginia State University](https://www.vsu.edu/news/2021/vaccination-requirement.php)@@Virginia State University,Virginia State University,,"August 6, 2021",Public,VA,✓,✓,--,D
[Virginia Union University](https://www.facebook.com/Virginia.Union/photos/a.139459757687/10158317694817688)@@Virginia Union University,Virginia Union University,,--,Private,VA,--,✓,--,D
[Virginia Wesleyan University](https://www.vwu.edu/about/news-and-events/features/story/virginia-wesleyan-to-require-covid-19-vaccination-for-fall-2021)@@Virginia Wesleyan University,Virginia Wesleyan University,,"April 27, 2021",Private,VA,✓,✓,--,D
[Wabash College](https://www.wabash.edu/covid/docs/Wabash_Announces_Vaccine_Requirement.pdf)@@Wabash College,Wabash College,,"July 21, 2021",Private,IN,✓,✓,--,R
[Wagner College](https://wagner.edu/newsroom/student-vax-policy-announced/)@@Wagner College,Wagner College,,"June 3, 2021",Private,NY,--,✓,--,D
[Wake Forest University](https://ourwayforward.wfu.edu/2021/04/covid-19-update-intent-to-require-vaccination-current-students/)@@Wake Forest University,Wake Forest University,,"April 20, 2021",Private,NC,--,✓,--,R
[Warren Wilson College](https://warren-wilson.edu/about/news-events/covid-19-response/)@@Warren Wilson College,Warren Wilson College,,"May 4, 2021",Private,NC,--,✓,--,R
[Washington & Jefferson College](https://www.washjeff.edu/covid-vaccination-requirement/)@@Washington & Jefferson College,Washington & Jefferson College,,"June 3, 2021",Private,PA,✓,✓,--,D
[Washington Adventist University](https://www.wau.edu/wau-requiring-vaccination-for-fall-semester/)@@Washington Adventist University,Washington Adventist University,,"May 25, 2021",Private,MD,✓,✓,--,D
[Washington and Lee University](https://my.wlu.edu/covid-19-resources/community-updates/new-guidance-for-vaccinated-individuals-and-vaccination-requirement-for-fall-–-students-faculty-and-staff-5-21)@@Washington and Lee University,Washington and Lee University,,"May 21, 2021",Private,VA,✓,✓,--,D
[Washington College](https://www.washcoll.edu/coronavirus/files/Vaccine%20Requirement%20Announcement.pdf)@@Washington College,Washington College,,--,Private,MD,--,✓,--,D
[Washington County Community College](https://www.mccs.me.edu/covid-19/vaccine-protocol/)@@Washington County Community College,Washington County Community College,,"August 12, 2021",Public,ME,--,✓,--,D
[Washington State University](https://from.wsu.edu/president/2021/covid-19-vaccine-requirement/email.html)@@Washington State University,Washington State University,,"April 28, 2021",Public,WA,✓,✓,--,D
[Washington State University-Everett](https://from.wsu.edu/president/2021/covid-19-vaccine-requirement/email.html)@@Washington State University-Everett,Washington State University-Everett,,"April 28, 2021",Public,WA,✓,✓,--,D
[Washington State University-Spokane](https://from.wsu.edu/president/2021/covid-19-vaccine-requirement/email.html)@@Washington State University-Spokane,Washington State University-Spokane,,"April 28, 2021",Public,WA,✓,✓,--,D
[Washington State University-Tri Cities](https://from.wsu.edu/president/2021/covid-19-vaccine-requirement/email.html)@@Washington State University-Tri Cities,Washington State University-Tri Cities,,"April 28, 2021",Public,WA,✓,✓,--,D
[Washington State University-Vancouver](https://from.wsu.edu/president/2021/covid-19-vaccine-requirement/email.html)@@Washington State University-Vancouver,Washington State University-Vancouver,,"April 28, 2021",Public,WA,✓,✓,--,D
[Washington University in St. Louis](https://covid19.wustl.edu/covid-19-vaccine-requirement/)@@Washington University in St. Louis,Washington University in St. Louis,Y,"April 28, 2021",Private,MO,✓,✓,--,R
[Wayne State University](https://www.detroitnews.com/story/news/local/detroit-city/2021/07/26/survey-86-wsu-community-vaccinated-against-covid-19/8092337002/)@@Wayne State University,Wayne State University,,"July 26, 2021",Public,MI,✓,✓,--,D
[Webster University](https://news.webster.edu/2021/task-force-updates-covid-guidelines-vaccinations-required.php)@@Webster University,Webster University,,"July 22, 2021",Private,MO,✓,✓,--,R
[Wellesley College](https://blogs.wellesley.edu/announcements/2021/05/05/vaccination-protocol-for-fall-2021/)@@Wellesley College,Wellesley College,,"May 5, 2021",Private,MA,✓,✓,--,D
[Wells College](https://www.wells.edu/news/2021/06/10/wells-college-require-covid-19-vaccination-all-students-employees)@@Wells College,Wells College,,"June 10, 2021",Private,NY,✓,✓,--,D
[Wenatchee Valley College](https://www.wvc.edu/apply/future-students/residence-hall/index.html)@@Wenatchee Valley College,Wenatchee Valley College,,--,Public,WA,✓,✓,--,D
[Wesleyan University](http://coronavirus.blogs.wesleyan.edu/2021/04/13/april-13-2021-student-vaccination-requirement-for-fall-2021/)@@Wesleyan University,Wesleyan University,,"April 13, 2021",Private,CT,✓,✓,--,D
[Western Colorado University](https://western.edu/covid-19-updates/)@@Western Colorado University,Western Colorado University,,--,Public,CO,✓,✓,--,D
[Western Connecticut State University](https://www.ct.edu/covid19#faqs)@@Western Connecticut State University,Western Connecticut State University,,"June 25, 2021",Public,CT,--,✓,--,D
[Western Nevada College](https://www.unlv.edu/news-story/nevada-state-board-health-approves-covid-19-vaccination-requirement-students)@@Western Nevada College,Western Nevada College,,"August 20, 2021",Public,NV,--,✓,--,D
[Western New England University](https://www1.wne.edu/coronavirus/update-may-24-2021.cfm)@@Western New England University,Western New England University,,"May 24, 2021",Private,MA,--,✓,--,D
[Western Oregon University](https://www.opb.org/article/2021/05/10/oregon-universities-covid-19-vaccine-plan/)@@Western Oregon University,Western Oregon University,,"May 10, 2021",Public,OR,✓,✓,--,D
[Western Washington University](https://president.wwu.edu/fall-2021-vaccine-requirements-students-and-employees)@@Western Washington University,Western Washington University,,"May 5, 2021",Public,WA,✓,✓,--,D
[Westfield State University](https://www.salemstate.edu/news/fall-2021-semester-covid-19-vaccine-requirement-apr-26-2021)@@Westfield State University,Westfield State University,,"April 26, 2021",Public,MA,--,✓,--,D
[Westminster College](https://westminstercollege.edu/about/risk-management/coronavirus-covid-19-resources/index.html)@@Westminster College,Westminster College,,--,Private,UT,✓,✓,--,R
[Wheaton College](https://wheatoncollege.blog/on-campus-announcements/president/may-1-update-on-fall-2021-return-to-campus-plans/)@@Wheaton College,Wheaton College,,"May 1, 2021",Private,MA,--,✓,--,D
[Whitman College](https://www.whitman.edu/covid-dashboard/updates/april-23-2021-%E2%80%93-covid-19-and-plans-for-the-fall)@@Whitman College,Whitman College,,"April 23, 2021",Private,WA,✓,✓,--,D
[Whittier College](https://www.whittier.edu/covid19/vaccine)@@Whittier College,Whittier College,,--,Private,CA,✓,✓,--,D
[Whitworth University](https://www.whitworth.edu/cms/covid-19/frequently-asked-questions/vaccinations/)@@Whitworth University,Whitworth University,,"June 16, 2021",Private,WA,✓,✓,--,D
[Widener University](https://www.widener.edu/coronavirus)@@Widener University,Widener University,,--,Private,PA,✓,✓,--,D
[Willamette University](https://willamette.edu/offices/wellness/coronavirus/vaccination-policy/index.html)@@Willamette University,Willamette University,,"April 21, 2021",Private,OR,✓,✓,--,D
[William & Mary](https://www.wm.edu/sites/pathforward/health/vaccinations/index.php)@@William & Mary,William & Mary,,"May 18, 2021",Public,VA,✓,✓,--,D
[William James College](https://www.williamjames.edu/about/welcome/President-s-Updates.cfm)@@William James College,William James College,,"May 5, 2021",Private,MA,✓,✓,--,D
[William Paterson University](https://myemail.constantcontact.com/WP-Vaccine-Requirements-Update.html?soid=1132109892475&aid=4MVKL3TWSCw)@@William Paterson University,William Paterson University,,"June 23, 2021",Public,NJ,--,✓,--,D
[Williams College](https://president.williams.edu/writings-and-remarks/student-vaccine-requirement-for-next-fall/)@@Williams College,Williams College,,"April 23, 2021",Private,MA,✓,✓,--,D
[Williamson College of the Trades](https://www.williamson.edu/covid-dashboard/)@@Williamson College of the Trades,Williamson College of the Trades,,--,Private,PA,✓,✓,--,D
[Windward Community College](https://www.hawaii.edu/news/2021/05/17/uh-to-require-covid-19-vaccination/)@@Windward Community College,Windward Community College,,"May 17, 2021",Public,HI,--,✓,--,D
[Wofford College](https://www.wofford.edu/about/news/news-archives/2021/covid-19-vaccination-and-fall-instruction)@@Wofford College,Wofford College,,"April 22, 2021",Private,SC,--,✓,--,R
[Worcester Polytechnic Institute](https://www.wpi.edu/news/announcements/vaccines-required-better-normal)@@Worcester Polytechnic Institute,Worcester Polytechnic Institute,,"May 6, 2021",Private,MA,--,✓,--,D
[Xavier University of Louisiana](https://xula.edu/immunization-requirements)@@Xavier University of Louisiana,Xavier University of Louisiana,,"April 8, 2021",Private,LA,--,✓,--,R
[Yale University](https://www.wfsb.com/news/yale-university-requiring-all-students-to-get-vaccinated-before-returning-to-campus/article_6d599bfc-a121-11eb-8fe8-4f87c780682c.html)@@Yale University,Yale University,Y,"April 19, 2021",Private,CT,✓,✓,--,D
[Yeshiva University](https://www.yu.edu/covid-19-info/faqs-vaccinations)@@Yeshiva University,Yeshiva University,,"May 4, 2021",Private,NY,--,✓,--,D
[York County Community College](https://www.mccs.me.edu/covid-19/vaccine-protocol/)@@York County Community College,York County Community College,,"August 12, 2021",Public,ME,--,✓,--,D
