College,Announce date,Type,State  ^Color denotes 2020 presidential result^,All employees  ^(Vaccination required)^,Some employees<sup>1</sup> ^(Vaccination required)^,All students  ^(Vaccination required)^,Only residential students  ^(Vaccination required)^,state_pol
[East-West University](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@East-West University,"August 26, 2021",Private,IL,✓,--,✓,--,D
[Eastern Connecticut State University](https://www.ct.edu/covid19#faqs)@@Eastern Connecticut State University,"June 25, 2021",Public,CT,--,--,✓,--,D
[Eastern Illinois University](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Eastern Illinois University,"August 26, 2021",Public,IL,✓,--,✓,--,D
[Eastern Maine Community College](https://www.mccs.me.edu/covid-19/vaccine-protocol/)@@Eastern Maine Community College,"August 12, 2021",Public,ME,--,--,✓,--,D
[Eastern Mennonite University](https://emu.edu/coronavirus/vaccination)@@Eastern Mennonite University,--,Private,VA,--,--,✓,--,D
[Eastern Nazarene College](https://enc.edu/covid-19-update/covid-19-vaccination-requirements/)@@Eastern Nazarene College,"June 7, 2021",Private,MA,--,--,✓,--,D
[Eastern Oregon University](https://www.eou.edu/news-press/eou-will-require-covid-19-vaccinations-for-fall-2021/)@@Eastern Oregon University,"June 3, 2021",Public,OR,✓,--,✓,--,D
[Eastern Washington University](https://inside.ewu.edu/news/featured/ewu-adds-vaccination-requirement/)@@Eastern Washington University,"June 3, 2021",Public,WA,✓,--,✓,--,D
[Edmonds Community College](https://www.governor.wa.gov/sites/default/files/proclamations/proc_20-12.5.pdf)@@Edmonds Community College,"August 20, 2021",Public,WA,✓,--,--,--,D
[Elgin Community College](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Elgin Community College,"August 26, 2021",Public,IL,✓,--,✓,--,D
[Elmhurst University](https://www.elmhurst.edu/covid-19-updates/vaccine-requirement-faq/)@@Elmhurst University,--,Private,IL,✓,--,✓,--,D
[Elms College](https://www.elms.edu/elms-safe/letter-from-the-president/)@@Elms College,"May 7, 2021",Private,MA,--,--,✓,--,D
[Elon University](https://www.elon.edu/u/news/2021/06/17/elon-announces-vaccination-policies-for-2021-2022/)@@Elon University,"June 17, 2021",Private,NC,--,--,✓,--,R
[Emerson College](https://today.emerson.edu/2021/04/21/update-on-fall-2021-term-planning/)@@Emerson College,"April 21, 2021",Private,MA,✓,--,✓,--,D
[Emmanuel College](https://www.emmanuel.edu/forward/announcements/message-from-the-president-concerning-student-vaccinations-for-fall-2021.html)@@Emmanuel College,"May 3, 2021",Private,MA,--,--,✓,--,D
[Emory University](https://twitter.com/gregfenves/status/1384176713593094144?s=21)@@Emory University,"April 19, 2021",Private,GA,✓,--,✓,--,D
[Endicott College](https://www.endicott.edu/news-events/covid-19-policy-and-procedures)@@Endicott College,"May 29, 2021",Private,MA,✓,--,✓,--,D
[Episcopal Theological Seminary of the Southwest](http://ssw.edu/wp-content/uploads/2021/04/Vaccination-Policy_4_20_21.pdf)@@Episcopal Theological Seminary of the Southwest,"April 20, 2021",Private,TX,✓,--,✓,--,R
[Erie Community College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@Erie Community College,"May 10, 2021",Public,NY,--,--,✓,--,D
[Erikson Institute](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Erikson Institute,"August 26, 2021",Private,IL,✓,--,✓,--,D
[Essex County College](https://www.essex.edu/wp-content/uploads/2021/08/FINAL-Restart-Plan-2.0_.pdf)@@Essex County College,"August 3, 2021",Public,NJ,✓,--,✓,--,D
[Eureka College](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Eureka College,"August 26, 2021",Private,IL,✓,--,✓,--,D
[Evergreen State College](https://www.evergreen.edu/news/post/2021/fall-2021-evergreen-requires-covid-19-vaccine)@@Evergreen State College,"May 6, 2021",Public,WA,✓,--,✓,--,D
[Fairleigh Dickinson University](https://www.fdu.edu/coronavirus-update/)@@Fairleigh Dickinson University,"April 15, 2021",Private,NJ,✓,--,✓,--,D
[Faith International University](https://www.governor.wa.gov/sites/default/files/proclamations/proc_20-12.5.pdf)@@Faith International University,"August 20, 2021",Private,WA,✓,--,--,--,D
[Farmingdale State College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@Farmingdale State College,"May 10, 2021",Public,NY,--,--,✓,--,D
[Fashion Institute of Technology](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@Fashion Institute of Technology,"May 10, 2021",Public,NY,--,--,✓,--,D
[Felician University](https://felician.edu/vaccination/)@@Felician University,"July 15, 2021",Private,NJ,✓,--,✓,--,D
[Finger Lakes Community College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@Finger Lakes Community College,"May 10, 2021",Public,NY,--,--,✓,--,D
[Fitchburg State University](https://www.salemstate.edu/news/fall-2021-semester-covid-19-vaccine-requirement-apr-26-2021)@@Fitchburg State University,"April 26, 2021",Public,MA,--,--,✓,--,D
Five Towns College,"April 28, 2021",For-profit,NY,✓,--,✓,--,D
[Fletcher Technical Community College](https://www.katc.com/news/covering-louisiana/regents-updates-on-louisiana-higher-ed-vaccine-mandates)@@Fletcher Technical Community College,"August 25, 2021",Public,LA,--,--,✓,--,R
[Folsom Lake College](https://losrios.edu/campus-life/news/los-rios-to-implement-covid-19-vaccine-requirement)@@Folsom Lake College,"August 3, 2021",Public,CA,✓,--,✓,--,D
[Foothill College](https://go.boarddocs.com/ca/fhda/Board.nsf/files/C5BVBY800409/$file/Draft_BP%203507%20COVID-19%20Vaccination%20Interim%20Policy_new.pdf)@@Foothill College,--,Public,CA,✓,--,✓,--,D
[Fordham University](https://bronx.news12.com/fordham-university-to-require-all-students-to-be-vaccinated-by-start-of-fall-semester)@@Fordham University,"April 16, 2021",Private,NY,✓,--,✓,--,D
[Fort Lewis College](https://www.fortlewis.edu/life-at-flc/health-safety/coronavirus-covid-19/covid-19-updates/update-details/policy-for-vaccine-requirement)@@Fort Lewis College,"April 15, 2021",Public,CO,--,--,✓,--,D
[Fox College](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Fox College,"August 26, 2021",For-profit,IL,✓,--,✓,--,D
[Framingham State University](https://www.salemstate.edu/news/fall-2021-semester-covid-19-vaccine-requirement-apr-26-2021)@@Framingham State University,"April 26, 2021",Public,MA,--,--,✓,--,D
[Franklin & Marshall College](https://www.fandm.edu/pandemicoperations/health-safety/covid-19-vaccine-information)@@Franklin & Marshall College,"May 18, 2021",Private,PA,--,--,✓,--,D
[Franklin Pierce University](https://www.franklinpierce.edu/Fall_2021/vac-comm.htm)@@Franklin Pierce University,--,Private,NH,--,--,✓,--,D
[Fresno Pacific University](https://news.fresno.edu/coronavirus-covid-19-news-and-information)@@Fresno Pacific University,--,Private,CA,--,--,--,✓,D
[Frontier Community College](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Frontier Community College,"August 26, 2021",Public,IL,✓,--,✓,--,D
[Frostburg State University](https://www.usmd.edu/newsroom/news/2154)@@Frostburg State University,"April 23, 2021",Public,MD,✓,--,✓,--,D
[Fullerton College](https://noce.edu/wp-content/uploads/2021/08/8.26.2021-COVID-19-Vaccination-Mandate-accessible.pdf)@@Fullerton College,"August 24, 2021",Public,CA,✓,--,✓,--,D
[Fulton-Montgomery Community College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@Fulton-Montgomery Community College,"May 10, 2021",Public,NY,--,--,✓,--,D
[Furman University](https://www.furman.edu/furman-focused/campus-communications/june-1-2021/)@@Furman University,"June 1, 2021",Private,SC,--,--,✓,--,R
[Gallaudet University](https://us3.campaign-archive.com/?u=1f4f6deee1b97fac6e5179a64&id=812895101c)@@Gallaudet University,"May 17, 2021",Private,DC,✓,--,✓,--,D
[Garrett-Evangelical Theological Seminary](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Garrett-Evangelical Theological Seminary,"August 26, 2021",Private,IL,✓,--,✓,--,D
[Gateway Community College](https://www.ct.edu/covid19#faqs)@@Gateway Community College,"June 25, 2021",Public,CT,--,--,✓,--,D
[Genesee Community College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@Genesee Community College,"May 10, 2021",Public,NY,--,--,✓,--,D
[George Mason University](https://www2.gmu.edu/safe-return-campus/vaccination-policy)@@George Mason University,--,Public,VA,✓,--,✓,--,D
[George Washington University](https://coronavirus.gwu.edu/important-covid-19-vaccine-update)@@George Washington University,"April 19, 2021",Private,DC,✓,--,✓,--,D
[Georgetown University](https://president.georgetown.edu/vaccine-update-for-students-april-2021)@@Georgetown University,"April 14, 2021",Private,DC,✓,--,✓,--,D
[Georgia Institute of Technology](http://health.gatech.edu/coronavirus/institute-operations)@@Georgia Institute of Technology,"October 26, 2021",Public,GA,--,✓,--,--,D
[Georgian Court University](https://georgian.edu/health-services/coronavirus/)@@Georgian Court University,"April 23, 2021",Private,NJ,--,--,✓,--,D
[Gettysburg College](https://www.gettysburg.edu/opening/messages/20210520-student-vaccinations)@@Gettysburg College,"May 20, 2021",Private,PA,--,--,✓,--,D
[Glasgow Caledonian New York College](https://www.gcnyc.com/important-announcement-regarding-trimester-a-2/)@@Glasgow Caledonian New York College,"June 18, 2021",Private,NY,✓,--,--,✓,D
[Golden Gate University](https://newsroom.ggu.edu/press-releases/mandatory-covid-19-vaccinations/)@@Golden Gate University,"June 17, 2021",Private,CA,✓,--,✓,--,D
[Golden West College](https://www.cccd.edu/aboutus/novelcoronavirus/index.cfm)@@Golden West College,"August 24, 2021",Public,CA,✓,--,✓,--,D
[Goldey-Beacom College](https://www.gbc.edu/covid/GeneralFAQ.html)@@Goldey-Beacom College,--,Private,DE,--,--,✓,--,D
[Gonzaga University](https://gonzaga.campusesp.com/posts/997)@@Gonzaga University,"June 10, 2021",Private,WA,✓,--,✓,--,D
[Goshen College](https://www.goshen.edu/emergency/coronavirus/updates-archive/#section-1)@@Goshen College,"May 14, 2021",Private,IN,--,--,✓,--,R
[Goucher College](https://www.goucher.edu/return-to-campus/updates/2021-05-14-returning-to-campus-in-the-fall)@@Goucher College,"May 14, 2021",Private,MD,--,--,✓,--,D
[Governors State University](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Governors State University,"August 26, 2021",Public,IL,✓,--,✓,--,D
[Grambling State University](https://www.klfy.com/health/coronavirus/university-of-louisiana-system-will-require-student-covid-19-vaccinations/)@@Grambling State University,"August 23, 2021",Public,LA,--,--,✓,--,R
[Grand Valley State University](https://www.gvsu.edu/president/messages-40.htm)@@Grand Valley State University,"August 6, 2021",Public,MI,✓,--,✓,--,D
[Grays Harbor College](https://www.governor.wa.gov/sites/default/files/proclamations/proc_20-12.5.pdf)@@Grays Harbor College,"August 20, 2021",Public,WA,✓,--,--,--,D
[Great Basin College](https://www.unlv.edu/news-story/nevada-state-board-health-approves-covid-19-vaccination-requirement-students)@@Great Basin College,"August 20, 2021",Public,NV,✓,--,✓,--,D
[Green River College](https://www.governor.wa.gov/sites/default/files/proclamations/proc_20-12.5.pdf)@@Green River College,"August 20, 2021",Public,WA,✓,--,--,--,D
[Greenfield Community College](https://masscc.org/massachusetts-community-colleges-announce-vaccine-requirement/)@@Greenfield Community College,"September 20, 2021",Public,MA,✓,--,✓,--,D
[Greenville University](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Greenville University,"August 26, 2021",Private,IL,✓,--,✓,--,D
[Grinnell College](https://www.grinnell.edu/news/covid-19-vaccination-required-students-beginning-fall-2021)@@Grinnell College,"April 14, 2021",Private,IA,✓,--,✓,--,R
[Grossmont College](https://www.gcccd.edu/vaccine.html)@@Grossmont College,--,Public,CA,--,--,✓,--,D
[Guilford College](https://www.guilford.edu/news/2021/08/guilford-college-covid-19-vaccination-mandate)@@Guilford College,"August 31, 2021",Private,NC,✓,--,✓,--,R
[Gustavus Adolphus College](https://health.blog.gustavus.edu/2021/05/18/covid-19-policy-changes-student-vaccine-requirement-for-fall-2021/)@@Gustavus Adolphus College,"May 18, 2021",Private,MN,--,--,✓,--,D
[Gwynedd Mercy University](https://www.gmercyu.edu/griffins-den/news/covid-19-vaccination-requirement-fall)@@Gwynedd Mercy University,"April 30, 2021",Private,PA,--,--,✓,--,D
[Hamilton College](https://www.hamilton.edu/covid19-information/community-notices/p/planning-for-fall-2021/view)@@Hamilton College,"April 26, 2021",Private,NY,✓,--,✓,--,D
[Hamline University](https://www.hamline.edu/news/2021/07/VaccineUpdate/)@@Hamline University,--,Private,MN,✓,--,✓,--,D
[Hampshire College](https://www.hampshire.edu/news/2021/04/22/hampshire-college-will-require-all-students-to-be-vaccinated-for-fall-2021-semester)@@Hampshire College,"April 22, 2021",Private,MA,✓,--,✓,--,D
[Hampton University](http://docs.hamptonu.edu/student/20210414123904-13399-new_student_revised_letter.pdf_20210416112456.pdf)@@Hampton University,"April 8, 2021",Private,VA,✓,--,✓,--,D
[Hartwick College](https://www.hartwick.edu/news/hartwick-college-to-require-covid-19-vaccines-for-fall-2021/)@@Hartwick College,"May 19, 2021",Private,NY,✓,--,✓,--,D
[Harvard University](https://www.harvard.edu/president/news/2021/covid-19-updates-and-vaccination-at-harvard/)@@Harvard University,"May 5, 2021",Private,MA,✓,--,✓,--,D
[Harvey Mudd College](https://www.hmc.edu/coronavirus-information/2021/04/19/covid-19-vaccination-policy/)@@Harvey Mudd College,"April 19, 2021",Private,CA,✓,--,✓,--,D
[Haverford College](https://www.brynmawr.edu/news/message-bico-community-covid-vaccinations-be-required-students-fall-2021)@@Haverford College,"April 28, 2021",Private,PA,✓,--,✓,--,D
[Hawaii Community College](https://www.hawaii.edu/news/2021/05/17/uh-to-require-covid-19-vaccination/)@@Hawaii Community College,"May 17, 2021",Public,HI,--,--,✓,--,D
[Heartland Community College](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Heartland Community College,"August 26, 2021",Public,IL,✓,--,✓,--,D
[Hebrew Theological College](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Hebrew Theological College,"August 26, 2021",Private,IL,✓,--,✓,--,D
[Heidelberg University](https://www.heidelberg.edu/sites/default/files/10.07.2021%20-%20Heidelberg%20University%20COVID-19%20Mandatory%20Vaccine%20Policy%20Announcement.pdf)@@Heidelberg University,"October 7, 2021",Private,OH,✓,--,✓,--,R
[Heritage University](https://www.governor.wa.gov/sites/default/files/proclamations/proc_20-12.5.pdf)@@Heritage University,"August 20, 2021",Private,WA,✓,--,--,--,D
[Herkimer County Community College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@Herkimer County Community College,"May 10, 2021",Public,NY,--,--,✓,--,D
[Highland Community College](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Highland Community College,"August 26, 2021",Public,IL,✓,--,✓,--,D
[Highline College](https://www.highline.edu/covid19/#returnmessage-july)@@Highline College,"July 22, 2021",Public,WA,✓,--,✓,--,D
[Hilbert College](https://www.hilbert.edu/news/2021/06/21/hilbert-college-announces-vaccination-requirement-for-fall-2021)@@Hilbert College,"June 21, 2021",Private,NY,✓,--,✓,--,D
[Hobart and William Smith Colleges](https://www2.hws.edu/vaccinations-and-covid-cases/)@@Hobart and William Smith Colleges,"August 23, 2021",Private,NY,✓,--,✓,--,D
[Hofstra University](https://www.hofstra.edu/together-again/vaccination.html)@@Hofstra University,"May 10, 2021",Private,NY,✓,--,✓,--,D
[Hollins University](https://hollins.edu/news/hollins-anticipates-the-beginning-of-a-return-to-normal-in-fall-2021/)@@Hollins University,"May 3, 2021",Private,VA,✓,--,✓,--,D
[Holy Cross College](https://ndsmcobserver.com/2021/04/holy-cross-college-to-require-covid-19-vaccination-for-student-enrollment-in-2021-2022-academic-year/)@@Holy Cross College,"April 14, 2021",Private,IN,--,--,✓,--,R
[Holy Family University](https://myemail.constantcontact.com/Update-on-Vaccinations.html?soid=1114009586391&aid=VX1KcLzBubs)@@Holy Family University,--,Private,PA,✓,--,✓,--,D
[Holy Names University](https://hnu.edu/news/message-about-coronavirus-prevention-and-preparation-2/)@@Holy Names University,"April 28, 2021",Private,CA,✓,--,✓,--,D
[Holyoke Community College](https://masscc.org/massachusetts-community-colleges-announce-vaccine-requirement/)@@Holyoke Community College,"September 20, 2021",Public,MA,✓,--,✓,--,D
[Honolulu Community College](https://www.hawaii.edu/news/2021/05/17/uh-to-require-covid-19-vaccination/)@@Honolulu Community College,"May 17, 2021",Public,HI,--,--,✓,--,D
[Hood College](https://www.hood.edu/discover/welcome-home-blazers/communications-updates)@@Hood College,"June 4, 2021",Private,MD,--,--,✓,--,D
[Housatonic Community College](https://www.ct.edu/covid19#faqs)@@Housatonic Community College,"June 25, 2021",Public,CT,--,--,✓,--,D
[Howard University](https://newsroom.howard.edu/newsroom/static/14406/office-president-update-student-covid-19-vaccination-requirements)@@Howard University,"May 17, 2021",Private,DC,✓,--,✓,--,D
[Hudson County Community College](https://www.hccc.edu/community/resources/documents/rtc-vaccine-requirement-090921.pdf)@@Hudson County Community College,--,Public,NJ,✓,--,✓,--,D
[Hudson Valley Community College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@Hudson Valley Community College,"May 10, 2021",Public,NY,--,--,✓,--,D
[Humboldt State University](https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx)@@Humboldt State University,"April 22, 2021",Public,CA,✓,--,✓,--,D
[Husson University](https://www.globenewswire.com/news-release/2021/05/17/2230695/0/en/Husson-University-Takes-Important-Next-Step-in-Protecting-Students-Health.html)@@Husson University,"May 17, 2021",Private,ME,--,--,✓,--,D
[Illinois Central College](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Illinois Central College,"August 26, 2021",Public,IL,✓,--,✓,--,D
[Illinois College](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Illinois College,"August 26, 2021",Private,IL,✓,--,✓,--,D
[Illinois College of Optometry](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Illinois College of Optometry,"August 26, 2021",Private,IL,✓,--,✓,--,D
[Illinois Institute of Technology](https://www.iit.edu/reopening)@@Illinois Institute of Technology,"July 21, 2021",Private,IL,✓,--,✓,--,D
[Illinois State University](https://news.illinoisstate.edu/2021/07/coronavirus-update-july-28-2021-new-face-covering-vaccine-and-testing-requirements/)@@Illinois State University,"July 28, 2021",Public,IL,✓,--,✓,--,D
[Illinois Valley Community College](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Illinois Valley Community College,"August 26, 2021",Public,IL,✓,--,✓,--,D
[Illinois Wesleyan University](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Illinois Wesleyan University,"August 26, 2021",Private,IL,✓,--,✓,--,D
[Immaculata University](https://www.immaculata.edu/coronavirus-covid-19-updates/)@@Immaculata University,--,Private,PA,✓,--,✓,--,D
[Indiana University at Bloomington](https://www.iu.edu/covid/prevention/covid-19-vaccine.html)@@Indiana University at Bloomington,"May 21, 2021",Public,IN,✓,--,✓,--,R
[Indiana University at Fort Wayne](https://www.iu.edu/covid/prevention/covid-19-vaccine.html)@@Indiana University at Fort Wayne,"May 21, 2021",Public,IN,✓,--,✓,--,R
[Indiana University at Kokomo](https://www.iu.edu/covid/prevention/covid-19-vaccine.html)@@Indiana University at Kokomo,"May 21, 2021",Public,IN,✓,--,✓,--,R
[Indiana University at South Bend](https://www.iu.edu/covid/prevention/covid-19-vaccine.html)@@Indiana University at South Bend,"May 21, 2021",Public,IN,✓,--,✓,--,R
[Indiana University-East](https://www.iu.edu/covid/prevention/covid-19-vaccine.html)@@Indiana University-East,"May 21, 2021",Public,IN,✓,--,✓,--,R
[Indiana University-Northwest](https://www.iu.edu/covid/prevention/covid-19-vaccine.html)@@Indiana University-Northwest,"May 21, 2021",Public,IN,✓,--,✓,--,R
[Indiana University-Purdue University at Columbus](https://www.iu.edu/covid/prevention/covid-19-vaccine.html)@@Indiana University-Purdue University at Columbus,"May 21, 2021",Public,IN,✓,--,✓,--,R
[Indiana University-Purdue University at Indianapolis](https://www.iu.edu/covid/prevention/covid-19-vaccine.html)@@Indiana University-Purdue University at Indianapolis,"May 21, 2021",Public,IN,✓,--,✓,--,R
[Indiana University-Southeast](https://www.iu.edu/covid/prevention/covid-19-vaccine.html)@@Indiana University-Southeast,"May 21, 2021",Public,IN,✓,--,✓,--,R
[Institute for Clinical Social Work](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Institute for Clinical Social Work,"August 26, 2021",Private,IL,✓,--,✓,--,D
[Inter American University of Puerto Rico at Aguadilla](https://intercentrales3.azurewebsites.net/wp-content/uploads/2021/08/Vaccination-Requirements-for-back-to-school-07292021_02.pdf)@@Inter American University of Puerto Rico at Aguadilla,--,Private,PR,--,--,✓,--,null
[Inter American University of Puerto Rico at Arecibo](https://intercentrales3.azurewebsites.net/wp-content/uploads/2021/08/Vaccination-Requirements-for-back-to-school-07292021_02.pdf)@@Inter American University of Puerto Rico at Arecibo,--,Private,PR,--,--,✓,--,null
[Inter American University of Puerto Rico at Barranquitas](https://intercentrales3.azurewebsites.net/wp-content/uploads/2021/08/Vaccination-Requirements-for-back-to-school-07292021_02.pdf)@@Inter American University of Puerto Rico at Barranquitas,--,Private,PR,--,--,✓,--,null
[Inter American University of Puerto Rico at Bayamón](https://intercentrales3.azurewebsites.net/wp-content/uploads/2021/08/Vaccination-Requirements-for-back-to-school-07292021_02.pdf)@@Inter American University of Puerto Rico at Bayamón,--,Private,PR,--,--,✓,--,null
[Inter American University of Puerto Rico at Fajardo](https://intercentrales3.azurewebsites.net/wp-content/uploads/2021/08/Vaccination-Requirements-for-back-to-school-07292021_02.pdf)@@Inter American University of Puerto Rico at Fajardo,--,Private,PR,--,--,✓,--,null
[Inter American University of Puerto Rico at Guayama](https://intercentrales3.azurewebsites.net/wp-content/uploads/2021/08/Vaccination-Requirements-for-back-to-school-07292021_02.pdf)@@Inter American University of Puerto Rico at Guayama,--,Private,PR,--,--,✓,--,null
[Inter American University of Puerto Rico at Ponce](https://intercentrales3.azurewebsites.net/wp-content/uploads/2021/08/Vaccination-Requirements-for-back-to-school-07292021_02.pdf)@@Inter American University of Puerto Rico at Ponce,--,Private,PR,--,--,✓,--,null
[Inter American University of Puerto Rico at San Germán](https://intercentrales3.azurewebsites.net/wp-content/uploads/2021/08/Vaccination-Requirements-for-back-to-school-07292021_02.pdf)@@Inter American University of Puerto Rico at San Germán,--,Private,PR,--,--,✓,--,null
[Inter American University of Puerto Rico Metropolitan Campus](https://intercentrales3.azurewebsites.net/wp-content/uploads/2021/08/Vaccination-Requirements-for-back-to-school-07292021_02.pdf)@@Inter American University of Puerto Rico Metropolitan Campus,--,Private,PR,--,--,✓,--,null
[Ithaca College](https://www.ithaca.edu/news/anticipating-vibrant-fall-2021-ithaca-college)@@Ithaca College,"April 7, 2021",Private,NY,--,--,✓,--,D
[Jackson State University](https://mississippitoday.org/2021/10/25/ihl-covid-vaccine-federal-order/)@@Jackson State University,"October 25, 2021",Public,MS,✓,--,--,--,R
[Jacksonville University](https://www.ju.edu/readytoreturn/subject-vaccination.php)@@Jacksonville University,--,Private,FL,✓,--,--,--,R
[James Madison University](http://jmu.imodules.com/controls/email_marketing/view_in_browser.aspx?sid=1591&gid=2&sendId=2516231&ecatid=64&puid=c423e57d-e36a-44e4-9b36-3c269c94adf4)@@James Madison University,"May 27, 2021",Public,VA,--,--,✓,--,D
[Jamestown Community College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@Jamestown Community College,"May 10, 2021",Public,NY,--,--,✓,--,D
[Jefferson Community College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@Jefferson Community College,"May 10, 2021",Public,NY,--,--,✓,--,D
Jewish Theological Seminary of America,"April 30, 2021",Private,NY,✓,--,✓,--,D
[John A. Logan College](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@John A. Logan College,"August 26, 2021",Public,IL,✓,--,✓,--,D
[John Carroll University](https://jcu.edu/news-center/jcu-update-proof-vaccination-requirement)@@John Carroll University,"August 27, 2021",Private,OH,✓,--,✓,--,R
[John Wood Community College](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@John Wood Community College,"August 26, 2021",Public,IL,✓,--,✓,--,D
[Johns Hopkins University](https://hub.jhu.edu/2021/04/09/fall-return-to-campus-planning/?mc_cid=a95b995103&amp;mc_eid=658804808d)@@Johns Hopkins University,"April 9, 2021",Private,MD,✓,--,✓,--,D
[Johnson & Wales University-Charlotte](https://www.jwu.edu/news/university-press-releases/providence/051121-vaccine.html)@@Johnson & Wales University-Charlotte,"May 11, 2021",Private,NC,✓,--,✓,--,R
[Johnson & Wales University-Providence](https://www.thenewportbuzz.com/johnson-wales-university-to-require-covid-19-vaccinations-for-students-this-fall/29874)@@Johnson & Wales University-Providence,"May 11, 2021",Private,RI,✓,--,✓,--,D
[Johnson C. Smith University](https://www.jcsu.edu/happenings/latest-news/johnson-c.-smith-university-requires-vaccinations-for-faculty-staff-and-students#idZBNBATsZi5Tp1s21HOf7kQ)@@Johnson C. Smith University,"May 18, 2021",Private,NC,--,--,✓,--,R
[Joliet Junior College](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Joliet Junior College,"August 26, 2021",Public,IL,✓,--,✓,--,D
[Judson University](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Judson University,"August 26, 2021",Private,IL,✓,--,✓,--,D
[Juniata College](https://www.juniata.edu/coronavirus/Vaccine%20FAQ.php)@@Juniata College,--,Private,PA,--,--,✓,--,D
[Kalamazoo College](https://covid.kzoo.edu/2021/04/29/important-message-on-covid-19-vaccines/)@@Kalamazoo College,"April 29, 2021",Private,MI,✓,--,✓,--,D
[Kankakee Community College](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Kankakee Community College,"August 26, 2021",Public,IL,✓,--,✓,--,D
[Kansas State University](https://www.k-state.edu/today/info/announcement/?id=78099)@@Kansas State University,"October 22, 2021",Public,KS,✓,--,--,--,R
[Kapiolani Community College](https://www.hawaii.edu/news/2021/05/17/uh-to-require-covid-19-vaccination/)@@Kapiolani Community College,"May 17, 2021",Public,HI,--,--,✓,--,D
[Kaskaskia College](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Kaskaskia College,"August 26, 2021",Public,IL,✓,--,✓,--,D
[Kauai Community College](https://www.hawaii.edu/news/2021/05/17/uh-to-require-covid-19-vaccination/)@@Kauai Community College,"May 17, 2021",Public,HI,--,--,✓,--,D
[Kean University](https://www.kean.edu/presidential-announcements#vax)@@Kean University,"April 30, 2021",Public,NJ,--,--,✓,--,D
[Kennebec Valley Community College](https://www.mccs.me.edu/covid-19/vaccine-protocol/)@@Kennebec Valley Community College,"August 12, 2021",Public,ME,--,--,✓,--,D
[Kent State University at Ashtabula](https://www.kent.edu/coronavirus/news/kent-state-announces-covid-19-vaccine-requirement)@@Kent State University at Ashtabula,"August 27, 2021",Public,OH,✓,--,✓,--,R
[Kent State University at East Liverpool](https://www.kent.edu/coronavirus/news/kent-state-announces-covid-19-vaccine-requirement)@@Kent State University at East Liverpool,"August 27, 2021",Public,OH,✓,--,✓,--,R
[Kent State University at Geauga](https://www.kent.edu/coronavirus/news/kent-state-announces-covid-19-vaccine-requirement)@@Kent State University at Geauga,"August 27, 2021",Public,OH,✓,--,✓,--,R
